model,run,group,persona_code,token_f1,iou_f1,n_eval,missing,gt_total
mistral_medium,r1,WY,25_f_l,0.5618561510976962,0.4068441064638783,263,0,263
mistral_medium,r1,WY,25_f_w,0.5652341585881712,0.40304182509505704,263,0,263
mistral_medium,r1,WY,45_m_b,0.5625547221799092,0.41064638783269963,263,0,263
mistral_medium,r1,WY,45_m_l,0.5615423464312799,0.4068441064638783,263,0,263
mistral_medium,r1,WY,45_m_w,0.5694018763807699,0.4144486692015209,263,0,263
mistral_medium,r1,WY,45_f_b,0.5693609023195526,0.4220532319391635,263,0,263
mistral_medium,r1,WY,45_f_l,0.5721642923267427,0.42585551330798477,263,0,263
mistral_medium,r1,WY,45_f_w,0.5623826139003482,0.4068441064638783,263,0,263
mistral_medium,r2,BO,25_m_b,0.588051057747121,0.44106463878326996,263,0,263
mistral_medium,r2,BO,25_m_l,0.5972634940843616,0.4600760456273764,263,0,263
mistral_medium,r2,BO,25_m_w,0.5925810041784745,0.44106463878326996,263,0,263
mistral_medium,r2,BO,25_f_b,0.5895862086984819,0.4372623574144487,263,0,263
mistral_medium,r2,BO,25_f_l,0.5925734164630574,0.4524714828897338,263,0,263
mistral_medium,r2,BO,25_f_w,0.5881569722763444,0.4372623574144487,263,0,263
mistral_medium,r2,BO,45_m_b,0.5855915771054626,0.44106463878326996,263,0,263
mistral_medium,r2,BO,45_m_l,0.5928706427920666,0.4448669201520912,263,0,263
mistral_medium,r2,BO,45_m_w,0.5998607757837595,0.45627376425855515,263,0,263
mistral_medium,r2,BO,45_f_b,0.5879757575946646,0.4296577946768061,263,0,263
mistral_medium,r2,BO,45_f_l,0.5933932357691988,0.44866920152091255,263,0,263
mistral_medium,r2,BO,45_f_w,0.5910427851913334,0.4448669201520912,263,0,263
mistral_medium,r2,BY,25_m_b,0.5155934544052323,0.40304182509505704,263,0,263
mistral_medium,r2,BY,25_m_l,0.5259803959069991,0.41064638783269963,263,0,263
mistral_medium,r2,BY,25_m_w,0.5197058853814275,0.40304182509505704,263,0,263
mistral_medium,r2,BY,25_f_b,0.52353399812615,0.42585551330798477,263,0,263
mistral_medium,r2,BY,25_f_l,0.5271767163517995,0.4296577946768061,263,0,263
mistral_medium,r2,BY,25_f_w,0.5244182336907972,0.4144486692015209,263,0,263
